model,class,weather,baseline_iou,weighted_iou,delta_iou
DeepLabV3+,sidewalk,all,0.2437199759807846,0.3550642375415789,0.1113442615607943
DeepLabV3+,traffic light,all,0.2824313569438917,0.2868398015757222,0.004408444631830488
DeepLabV3+,bicycle,all,0.0,0.0,0.0
DeepLabV3+,car,all,0.8447023867764136,0.8378046680826279,-0.006897718693785748
DeepLabV3+,truck,all,0.536525328478188,0.521649994585859,-0.014875333892328979
DeepLabV3+,road,all,0.9134710809803565,0.8977716591250977,-0.015699421855258744
DeepLabV3+,bus,all,0.7822956600723989,0.7541451402822343,-0.028150519790164585
DeepLabV3+,rider,all,0.5732033300469036,0.5408014011693424,-0.032401928877561215
DeepLabV3+,traffic sign,all,0.5434738117116364,0.5042109228890056,-0.03926288882263085
DeepLabV3+,autorickshaw,all,0.725870331873542,0.6863747802937997,-0.03949555157974227
DeepLabV3+,motorcycle,all,0.5982303817603394,0.5498356038261458,-0.048394777934193556
DeepLabV3+,person,all,0.6456941492444366,0.5715868841485261,-0.07410726509591048
SegFormer-B2,bicycle,all,0.0,0.0,0.0
SegFormer-B2,car,all,0.8583660131292231,0.8460846946393732,-0.012281318489849924
SegFormer-B2,rider,all,0.5887432326180444,0.5673958737138052,-0.021347358904239222
SegFormer-B2,road,all,0.9244466269939664,0.9018391548385518,-0.022607472155414587
SegFormer-B2,autorickshaw,all,0.7278737902961259,0.7006402183731464,-0.027233571922979483
SegFormer-B2,bus,all,0.8529172152356076,0.8044844868814458,-0.04843272835416179
SegFormer-B2,traffic sign,all,0.5628714729839748,0.5117918959812447,-0.051079577002730026
SegFormer-B2,truck,all,0.5616865161753049,0.5031928813254835,-0.058493634849821396
SegFormer-B2,motorcycle,all,0.6239097937782179,0.5504151932167884,-0.07349460056142942
SegFormer-B2,person,all,0.6690687119911685,0.5943486350911881,-0.07472007689998039
SegFormer-B2,sidewalk,all,0.46264171994206,0.3682006330654979,-0.09444108687656211
SegFormer-B2,traffic light,all,0.3778557534612304,0.2605389414598069,-0.11731681200142352
U-Net,traffic light,all,0.0,0.2082506173437273,0.2082506173437273
U-Net,rider,all,0.4849867088833753,0.5316397312889894,0.04665302240561414
U-Net,truck,all,0.4734440288701821,0.5052484340115517,0.03180440514136962
U-Net,sidewalk,all,0.2095135224238638,0.2344323339379299,0.02491881151406608
U-Net,traffic sign,all,0.4375649684348482,0.4612143871980857,0.023649418763237506
U-Net,bicycle,all,0.0,0.0,0.0
U-Net,autorickshaw,all,0.716378965091664,0.7093159944871889,-0.007062970604475138
U-Net,bus,all,0.6587204474087146,0.6446484412933081,-0.014072006115406488
U-Net,car,all,0.8285780440153936,0.8083198316080433,-0.020258212407350262
U-Net,road,all,0.9087687853387352,0.8701725794292505,-0.03859620590948465
U-Net,motorcycle,all,0.5433399635066494,0.4915429936961806,-0.051796969810468774
U-Net,person,all,0.5901464226087156,0.5271551849256275,-0.06299123768308812
