model,class,weather,baseline_iou,weighted_iou,delta_iou
U-Net,autorickshaw,all,0.716378965091664,0.7093159944871889,-0.007062970604475138
U-Net,autorickshaw,fog,0.7365474817377932,0.6981292743287474,-0.03841820740904578
U-Net,autorickshaw,lowlight,0.2825611565424668,0.4129144639565737,0.13035330741410694
U-Net,autorickshaw,rain,0.7946453104667499,0.7660782012142494,-0.0285671092525005
U-Net,autorickshaw,snow,0.0,0.0,0.0
U-Net,bicycle,all,0.0,0.0,0.0
U-Net,bicycle,fog,,0.0,
U-Net,bicycle,lowlight,0.0,0.0,0.0
U-Net,bicycle,rain,,0.0,
U-Net,bicycle,snow,,,
U-Net,bus,all,0.6587204474087146,0.6446484412933081,-0.014072006115406488
U-Net,bus,fog,0.8284500888926671,0.8815164796234232,0.05306639073075603
U-Net,bus,lowlight,0.5972108666702488,0.6255742285093661,0.02836336183911725
U-Net,bus,rain,0.6404084669744421,0.4767412163887774,-0.16366725058566467
U-Net,bus,snow,4.388146154521253e-05,0.0,-4.388146154521253e-05
U-Net,car,all,0.8285780440153936,0.8083198316080433,-0.020258212407350262
U-Net,car,fog,0.8264674426411235,0.7825082168479572,-0.043959225793166246
U-Net,car,lowlight,0.8513506195670274,0.7834140007623251,-0.06793661880470225
U-Net,car,rain,0.8407484213154792,0.8154235640792292,-0.025324857236249998
U-Net,car,snow,0.8174808525327742,0.8147445227636344,-0.0027363297691398447
U-Net,motorcycle,all,0.5433399635066494,0.4915429936961806,-0.051796969810468774
U-Net,motorcycle,fog,0.5771985104554569,0.501111890384714,-0.07608662007074285
U-Net,motorcycle,lowlight,0.5454941167845754,0.4868661796558636,-0.05862793712871178
U-Net,motorcycle,rain,0.5813021709068991,0.5348078189271277,-0.046494351979771364
U-Net,motorcycle,snow,0.1901156428381296,0.1661706402501262,-0.02394500258800339
U-Net,person,all,0.5901464226087156,0.5271551849256275,-0.06299123768308812
U-Net,person,fog,0.4507309626788265,0.4699782572336511,0.0192472945548246
U-Net,person,lowlight,0.6169106036681647,0.5866755016158657,-0.030235102052299068
U-Net,person,rain,0.2603576761372628,0.2185339738447811,-0.041823702292481696
U-Net,person,snow,0.6492266300556915,0.5706271008211817,-0.07859952923450975
U-Net,rider,all,0.4849867088833753,0.5316397312889894,0.04665302240561414
U-Net,rider,fog,0.4977199847018328,0.4973183251617061,-0.0004016595401267198
U-Net,rider,lowlight,0.6475470999612442,0.5974431659237985,-0.05010393403744562
U-Net,rider,rain,0.4935507096049886,0.5833043997178973,0.08975369011290868
U-Net,rider,snow,0.0614002346166151,0.2220729130336663,0.1606726784170512
U-Net,road,all,0.9087687853387352,0.8701725794292505,-0.03859620590948465
U-Net,road,fog,0.9708933762375496,0.9416918718467118,-0.029201504390837796
U-Net,road,lowlight,0.8850311198027901,0.8451060171801352,-0.03992510262265492
U-Net,road,rain,0.8719687050209293,0.8428835011141463,-0.02908520390678293
U-Net,road,snow,0.8230802168453656,0.6767605072208113,-0.14631970962455432
U-Net,sidewalk,all,0.2095135224238638,0.2344323339379299,0.02491881151406608
U-Net,sidewalk,fog,0.2962456905522427,0.3020777422541675,0.005832051701924801
U-Net,sidewalk,lowlight,0.2567435467277951,0.2418257356742164,-0.0149178110535787
U-Net,sidewalk,rain,0.0352771230897894,0.1177611302852261,0.08248400719543669
U-Net,sidewalk,snow,0.0,0.0,0.0
U-Net,traffic light,all,0.0,0.2082506173437273,0.2082506173437273
U-Net,traffic light,fog,0.0,0.1048625135932888,0.1048625135932888
U-Net,traffic light,lowlight,0.0,0.3274447949526813,0.3274447949526813
U-Net,traffic light,rain,0.0,0.2317406444219156,0.2317406444219156
U-Net,traffic light,snow,,0.0,
U-Net,traffic sign,all,0.4375649684348482,0.4612143871980857,0.023649418763237506
U-Net,traffic sign,fog,0.4694312004897686,0.4915852956076978,0.022154095117929207
U-Net,traffic sign,lowlight,0.3636501480021359,0.4121698176082465,0.048519669606110594
U-Net,traffic sign,rain,0.0944704859269943,0.19991448584615,0.10544399991915569
U-Net,traffic sign,snow,0.6462773262260562,0.6337339630913287,-0.012543363134727481
U-Net,truck,all,0.4734440288701821,0.5052484340115517,0.03180440514136962
U-Net,truck,fog,0.6896522290045638,0.7701331446509094,0.08048091564634563
U-Net,truck,lowlight,0.581637802128615,0.5191636410007049,-0.062474161127910155
U-Net,truck,rain,0.3522175975829484,0.407511292333768,0.05529369475081958
U-Net,truck,snow,0.0482373220640569,0.1909781957907341,0.1427408737266772
DeepLabV3+,autorickshaw,all,0.725870331873542,0.6863747802937997,-0.03949555157974227
DeepLabV3+,autorickshaw,fog,0.7563740215155595,0.7297000631157213,-0.026673958399838216
DeepLabV3+,autorickshaw,lowlight,0.5014583144808191,0.5831013776050865,0.08164306312426739
DeepLabV3+,autorickshaw,rain,0.761618595438801,0.6986904932461184,-0.06292810219268252
DeepLabV3+,autorickshaw,snow,,0.0,
DeepLabV3+,bicycle,all,0.0,0.0,0.0
DeepLabV3+,bicycle,fog,0.0,0.0,0.0
DeepLabV3+,bicycle,lowlight,0.0,0.0,0.0
DeepLabV3+,bicycle,rain,0.0,0.0,0.0
DeepLabV3+,bicycle,snow,,,
DeepLabV3+,bus,all,0.7822956600723989,0.7541451402822343,-0.028150519790164585
DeepLabV3+,bus,fog,0.9140690508037336,0.8796459340528543,-0.03442311675087928
DeepLabV3+,bus,lowlight,0.7142949376459853,0.7104326988314851,-0.0038622388145002073
DeepLabV3+,bus,rain,0.7664856070744444,0.6713124226504168,-0.09517318442402756
DeepLabV3+,bus,snow,0.0,0.0,0.0
DeepLabV3+,car,all,0.8447023867764136,0.8378046680826279,-0.006897718693785748
DeepLabV3+,car,fog,0.8352566606396986,0.8303976941662717,-0.004858966473426873
DeepLabV3+,car,lowlight,0.814159775155621,0.8199391001083252,0.005779324952704168
DeepLabV3+,car,rain,0.8566386958351508,0.842600037734888,-0.014038658100262835
DeepLabV3+,car,snow,0.8467769270375052,0.8403502355005185,-0.006426691536986717
DeepLabV3+,motorcycle,all,0.5982303817603394,0.5498356038261458,-0.048394777934193556
DeepLabV3+,motorcycle,fog,0.6162007484041382,0.5901445738074383,-0.026056174596699844
DeepLabV3+,motorcycle,lowlight,0.5941833415117315,0.553436726588319,-0.04074661492341247
DeepLabV3+,motorcycle,rain,0.6371653041257325,0.5758032226525834,-0.06136208147314903
DeepLabV3+,motorcycle,snow,0.1450941607944945,0.1880986280093191,0.04300446721482459
DeepLabV3+,person,all,0.6456941492444366,0.5715868841485261,-0.07410726509591048
DeepLabV3+,person,fog,0.5985325701602047,0.4965968095599083,-0.10193576060029635
DeepLabV3+,person,lowlight,0.6681787331288607,0.6081362038554398,-0.06004252927342091
DeepLabV3+,person,rain,0.4301711197838487,0.2868930421349165,-0.1432780776489322
DeepLabV3+,person,snow,0.6657412049139058,0.6111367903263543,-0.0546044145875515
DeepLabV3+,rider,all,0.5732033300469036,0.5408014011693424,-0.032401928877561215
